aX,aY,aZ,gX,gY,gZ
0.238,-0.870,-0.011,10.132,12.878,-3.662
0.236,-0.889,-0.014,11.169,12.085,-2.075
0.227,-0.912,-0.009,9.521,12.329,-0.366
0.221,-0.936,-0.016,5.615,12.268,2.441
0.215,-0.956,-0.023,1.404,12.207,5.188
0.213,-0.971,-0.026,-0.244,12.573,7.141
0.210,-0.978,-0.022,1.648,12.756,7.751
0.215,-0.976,-0.012,5.554,12.573,7.812
0.222,-0.978,-0.007,9.216,11.108,8.057
0.229,-0.990,-0.008,11.353,8.911,8.057
0.240,-1.018,-0.019,10.681,6.226,7.629
0.243,-1.033,-0.036,8.484,3.967,5.554
0.236,-1.029,-0.050,7.141,3.662,2.930
0.233,-1.020,-0.056,6.531,4.028,1.221
0.238,-1.015,-0.055,6.226,4.578,0.427
